id,tag_name,created_at
1,sunset,"2025-04-14 21:39:56"
2,photography,"2025-04-14 21:39:56"
3,sunrise,"2025-04-14 21:39:56"
4,landscape,"2025-04-14 21:39:56"
5,food,"2025-04-14 21:39:56"
6,foodie,"2025-04-14 21:39:56"
7,delicious,"2025-04-14 21:39:56"
8,beauty,"2025-04-14 21:39:56"
9,stunning,"2025-04-14 21:39:56"
10,dreamy,"2025-04-14 21:39:56"
11,lol,"2025-04-14 21:39:56"
12,happy,"2025-04-14 21:39:56"
13,fun,"2025-04-14 21:39:56"
14,style,"2025-04-14 21:39:56"
15,hair,"2025-04-14 21:39:56"
16,fashion,"2025-04-14 21:39:56"
17,party,"2025-04-14 21:39:56"
18,concert,"2025-04-14 21:39:56"
19,drunk,"2025-04-14 21:39:56"
20,beach,"2025-04-14 21:39:56"
21,smile,"2025-04-14 21:39:56"
